Wavelength_nm_,N__GRINS__16,N__GRINS__15,N__GRINS__14,N__GRINS__13,N__GRINS__12,N__GRINS__11,N__GRINS__10,N__GRINS__9,N__GRINS__8,N__GRINS__7,N__GRINS__6,N__GRINS__5,N__GRINS__4,N__GRINS__3,N__GRINS__2,N__GRINS__1
1700,0.84291262051906,0.888754848180713,0.923421486455475,0.925001360304666,0.923802011573743,0.875417741206181,0.840105760896968,0.757836265771218,0.684788478057882,0.59147671155539,0.489908568429685,0.397543034658558,0.297326102352321,0.210716674539505,0.135296514913244,0.0748546610422165
1690,0.845768750366855,0.892530449494847,0.924387441740984,0.926135875603904,0.921323244817096,0.875621588381117,0.834744951009969,0.757900936969955,0.679048909143125,0.591516246009003,0.486476510453485,0.397588513639722,0.297045119896874,0.210795488546373,0.135372662789423,0.0749262293370994
1680,0.848449523481342,0.89598070670875,0.925238328430218,0.927230707952391,0.919022488016174,0.875889186952563,0.829938882293678,0.758086910354741,0.674152340438083,0.591632521626488,0.48371431559228,0.397722994835966,0.296818355389869,0.211027537533105,0.135596829063173,0.0751371074028609
1670,0.8509290346342,0.899092082092052,0.925977928053444,0.928268822491869,0.916916382601632,0.87621500712552,0.825683851906224,0.758382143045898,0.670035817712877,0.591822056963885,0.481546117751124,0.397943565539677,0.296639962457572,0.211406346111458,0.135962763209492,0.0754818203578929
1660,0.853181301257995,0.901851152256434,0.92661004912382,0.929233150836351,0.91502154730556,0.876593521152139,0.821976670852755,0.758774608192307,0.666638415225984,0.592081382376201,0.47989784404494,0.398247338339253,0.296504114470583,0.211925572154476,0.136464407378093,0.0759552035514266
1650,0.855180295537035,0.904244630839019,0.92713852480286,0.930106597088422,0.913354597066797,0.877019201574274,0.818814667113998,0.759252286747402,0.663900939087103,0.592407037900757,0.47869681283072,0.398631447975291,0.296405000117913,0.212578983994378,0.137095862733577,0.0765523501359098
1640,0.856899980185517,0.90625939193545,0.927567210649766,0.930872045405488,0.911932163567752,0.877486519642374,0.816195688780405,0.759803160208459,0.661765652416563,0.592795571244286,0.477871382959986,0.39909304830671,0.296336819545055,0.213360438691098,0.137851357406124,0.0772685610734215
1630,0.858314347912968,0.907882494282627,0.927899982454626,0.931512369115948,0.910770917402718,0.877989943910718,0.81411810719189,0.760415204319144,0.660176022301282,0.59324353587375,0.477350654251535,0.399629309386785,0.296293781055995,0.214263861371458,0.138725216052691,0.0780992975761247
1620,0.859397464576962,0.909101206191121,0.92814073415547,0.932010441385323,0.909887591877687,0.878523939008985,0.812580820083159,0.761076383735367,0.659076488547285,0.593747489210904,0.477064219184453,0.40023741464912,0.29627009837921,0.215283225639003,0.139711831028725,0.0790401359807568
1610,0.860123516023138,0.909903031227249,0.928293375839201,0.932349147432299,0.909299008441663,0.879082964590169,0.811583254734624,0.761774647654396,0.658412254228762,0.594303990930588,0.476941965811411,0.400914558203541,0.296259988497621,0.216412535054474,0.140805635170381,0.0800867250571579
