Wavelength_nm_,N_15,N_14,N_13,N_12,N_11,N_10,N_9,N_8,N_7,N_6,N_5,N_4,N_3,N_2,N_1,N_0
1350,0.479574783137582,0.476861300912097,0.510180042307823,0.379719509896711,0.371597988716803,0.335609560755854,0.279644115705837,0.386902094867367,0.473793534425199,0.626158763318988,0.840939463860784,0.962016889343412,1.06547370050892,1.017936767304,0.89536577638816,0.577785587243118
1357.14285714286,0.45684873899227,0.46300058089338,0.483728698533913,0.37165422072421,0.359732383945455,0.322687822986646,0.282233558525538,0.373049263491072,0.46599863464047,0.609225099848108,0.809396097057636,0.927614641582711,1.01928501629512,0.973690379284536,0.855325048482163,0.550769097620665
1364.28571428571,0.434819690278691,0.449218833949335,0.458098949584763,0.363735015007428,0.348190858442545,0.310265628968968,0.284608519198624,0.359661279877231,0.458302190905439,0.5927645732999,0.778871145150767,0.894191841739465,0.974679813689954,0.930856189842472,0.816541044262128,0.52454308959184
1371.42857142857,0.41357706040448,0.43552636995642,0.433394575544756,0.355919331670029,0.336993571718961,0.298419649052228,0.286716684839935,0.346873297919201,0.450704868034078,0.576809755196274,0.749410206613881,0.86175903834351,0.931677384651178,0.88944143001498,0.779008489553077,0.499107094167891
1378.57142857143,0.393208819990802,0.421933369770652,0.409717386337801,0.348164922730889,0.326160540934863,0.287225904362725,0.288505684724893,0.3348190712988,0.443207331141987,0.561392868945415,0.721058118902759,0.830326809607181,0.890297083213411,0.849453672868706,0.742722811423416,0.474460919149127
1385.71428571429,0.373801677924552,0.408449888504285,0.387167486880367,0.340429843914219,0.315711658675954,0.276759880188264,0.289923125496801,0.323631170640311,0.435810245829429,0.546545833407941,0.693859097795297,0.799905801468193,0.850558446050049,0.810900888555203,0.707680136906825,0.450604651764973
1392.85714285714,0.355441285448706,0.39508585898765,0.36584355844532,0.332672449409647,0.305666711444865,0.267096651132642,0.290916632739855,0.313441238166585,0.428514278364654,0.532300308109752,0.667856877483366,0.770506765120175,0.812481310563958,0.773791498556696,0.673877293013918,0.427538661647082
1400,0.338212452981119,0.381851095407262,0.345843155796108,0.324851390679523,0.296045398867114,0.258311017970516,0.291433898883531,0.304380279247385,0.421320095867556,0.518687740095761,0.643094851674568,0.742140594163497,0.776085931203162,0.738134429443581,0.641311808048637,0.405263604147085
1407.14285714286,0.32219937957992,0.36875529711191,0.327263020009652,0.316925619213259,0.286867353615801,0.25047765625825,0.291422737373787,0.296578990692459,0.414228366493739,0.505739412436762,0.619616216027504,0.714818361510201,0.741393094700259,0.703939166461487,0.609981914249581,0.383780424011609
1414.28571428571,0.307485895209001,0.35580805257893,0.310199407273193,0.308854393128791,0.278152162063936,0.243671276891319,0.290831143012157,0.290168126159404,0.407239759619032,0.493486494419947,0.597464112309441,0.688551356178479,0.708424234940971,0.671215807264314,0.579886551781719,0.363090359428106
