Wavelength_nm_,N__SWG__15,N__SWG__14,N__SWG__13,N__SWG__12,N__SWG__11,N__SWG__10,N__SWG__9,N__SWG__8,N__SWG__7,N__SWG__6,N__SWG__5,N__SWG__4,N__SWG__3,N__SWG__2
1700,0.0257976037434491,0.00870050353214618,0.0172463131103709,0.0490407833663659,0.0972000784090905,0.165184132981126,0.240579080944199,0.325341475814229,0.413763826848553,0.493914376251372,0.580854723314584,0.641800789326655,0.70511452040035,0.732731869676593
1698.49246231156,0.0253445927906346,0.00874264175952509,0.0176674692651549,0.0497977975334462,0.0983310605418222,0.166514170982211,0.242238639261243,0.32718770258356,0.415688780001919,0.49625563580145,0.582859292586179,0.64457427802392,0.706987896551447,0.735419931086009
1696.98492462312,0.0248906907800979,0.00878557058990118,0.0180892205066904,0.050555009730194,0.0994625529515663,0.167845938501324,0.243896169989016,0.329037778772252,0.417610927435576,0.498603804665009,0.584864573119982,0.647348754263725,0.708862255017435,0.738101176056016
1695.47738693467,0.0244359969527707,0.00882930469455441,0.0185115682381512,0.0513124154439749,0.100594520915207,0.169179479925921,0.245551620249142,0.330891704885387,0.419530509187111,0.500958467173045,0.586871140775281,0.650123224888576,0.710738674445392,0.740774695911367
1693.96984924623,0.0239806504158734,0.00887385391783254,0.0189345079909412,0.0520700069229557,0.101726916430942,0.170514817028766,0.247204978111454,0.332749390219239,0.421447875290907,0.503318951035836,0.588879658291258,0.652896510665131,0.712618375832526,0.743439623937269
1692.46231155779,0.0235248124132231,0.00891922396941042,0.0193580301452894,0.0528277725627373,0.102859685216002,0.17185194569914,0.248856273568191,0.33461066552691,0.423363451885694,0.505684421920293,0.590890818199002,0.655667365059934,0.714502605368405,0.746095190574927
1690.95477386935,0.0230686524337513,0.00896541699229552,0.019782120583569,0.0535856965407421,0.103992772032776,0.173190834266446,0.250505577945916,0.336475294930436,0.425277713239419,0.508053958953955,0.592905298619396,0.658434564557529,0.716392546646316,0.748740761140611
1689.4472361809,0.0226123370056796,0.00901243202366359,0.0202067612836062,0.0543437586643634,0.105126124619341,0.174531423141275,0.252153002138696,0.338342987178579,0.427191158429197,0.510426616616853,0.594923729079234,0.661196979658492,0.718289252597035,0.751375862467287
1687.93969849246,0.0221560200784451,0.00906026536412171,0.02063193085851,0.0551019344014222,0.106259696471056,0.175873625524617,0.253798694024463,0.34021340631413,0.429104291520048,0.512801478058126,0.596946663668813,0.6639536357592,0.720193587321969,0.754000205465254
1686.43216080402,0.0216998338446228,0.00910891086964298,0.0210576050489545,0.0558601950638347,0.107393448694964,0.177217328959677,0.255442835403402,0.342086181806254,0.431017604111956,0.515177704927155,0.59897455891542,0.66670377417966,0.722106166774264,0.756613712042322
1684.92462311558,0.021243878656151,0.00915836017916533,0.0214837571733323,0.0566185081176418,0.108527351136408,0.178562397524561,0.257085638765388,0.343960918226184,0.432931559070533,0.517554589545943,0.601007753667842,0.669446926122945,0.724027284492845,0.75921655750931
1683.41708542714,0.0207882101488244,0.00920860288967516,0.0219103585407839,0.0573768375947315,0.109661382956159,0.179908674489699,0.258727344144943,0.34583720460874,0.434846574106563,0.519931617744245,0.603046448059587,0.672183017722099,0.725956802998158,0.761809244230062
1681.90954773869,0.0203328201059884,0.00925962668948832,0.0223373788317773,0.0581351445837422,0.110795532815507,0.181255985292534,0.260368216243505,0.347714623775553,0.43676300357324,0.52230855916061,0.605090678176199,0.674912536450459,0.72789397963975,0.764392729330961
1680.40201005025,0.0198776025684145,0.00931141745939015,0.0227647864506508,0.0588933877797892,0.111929798805465,0.182604140714855,0.262008541856832,0.349592762182521,0.438681116270873,0.524685631845963,0.607140282230759,0.677636818197974,0.729837170172163,0.766968634611774
1678.89447236181,0.0194222803924568,0.00936395935030421,0.0231925488543486,0.0596515240748111,0.113064188234892,0.183952940185905,0.26364862733882,0.351471221547508,0.440601065832309,0.527063894331963,0.609194852490874,0.680358582712348,0.731783303677682,0.769539537041865
1677.38693467337,0.0189662176083538,0.00941723484524,0.0236206328614675,0.0604095091724747,0.114198717372019,0.185302175177617,0.265288795042695,0.353349635372161,0.442522847493935,0.529446373822223,0.611253664170083,0.683082969453108,0.733726980899166,0.772109091199854
1675.87939698492,0.0185079320573542,0.00947122481244746,0.0240490049456862,0.0611672982136637,0.115333411217987,0.18665163270833,0.266929375412593,0.355227698715602,0.444446228405677,0.531841371338583,0.61331556670021,0.685819222013888,0.735659455796136,0.774680479524139
1674.37185929648,0.0180442789152668,0.00952590855602308,0.0244776315176864,0.0619248464005396,0.116468303386239,0.188001099031494,0.268570684622288,0.357105234588953,0.44637062234606,0.534269213062495,0.615378812776726,0.68858030584086,0.737571165566948,0.777247843980148
1672.86432160804,0.0175824487177792,0.00958126386973045,0.0249064791997986,0.0626821096089022,0.117603436181217,0.189350363666808,0.270212957466677,0.358982362637221,0.448294840886062,0.536720174353602,0.617440789265232,0.691171445600634,0.739673839692847,0.779545882443714
1671.3567839196,0.0171221727845522,0.00963726709960571,0.0253355150978325,0.0634390449799286,0.118738861039013,0.190699224060936,0.271856147932095,0.360859947397548,0.450216571593421,0.539162112258614,0.619497634648137,0.693711270083635,0.741821568023461,0.7817807280268
1669.84924623116,0.0166647546110886,0.00969389322113971,0.0257647070749179,0.0641956114831478,0.11987463965962,0.19204749141468,0.273499372570277,0.362740739023153,0.452131339240851,0.541585024517616,0.621543956937666,0.696191986874953,0.744016978475273,0.783952609603726
