Wavelength_nm_,N__GRINS__16,N__GRINS__15,N__GRINS__14,N__GRINS__13,N__GRINS__12,N__GRINS__11,N__GRINS__10,N__GRINS__9,N__GRINS__8,N__GRINS__7,N__GRINS__6,N__GRINS__5,N__GRINS__4,N__GRINS__3,N__GRINS__2,N__GRINS__1
1700,0.950434039337171,0.918681850822606,0.861218989265125,0.796348932857915,0.710034678973479,0.622637753859101,0.531236593870402,0.436256023725542,0.351402510570785,0.270416767431248,0.201166518189923,0.149937714117421,0.109760007548298,0.0989944063527058,0.103549398881903,0.138945368708567
1690,0.944795091822154,0.905944711557532,0.84599463072891,0.77527246177068,0.686830809685038,0.597151643939465,0.503292207773996,0.409839058206813,0.323671985199709,0.2457429157977,0.177446241197921,0.128438384616404,0.0899582450498285,0.0850491421744266,0.0960109852744057,0.135046313607687
1680,0.93873349334921,0.893377255884446,0.83101744818561,0.754926725758756,0.664542205332619,0.572811807577134,0.476871040196357,0.384918733561732,0.297866068279823,0.222905351046954,0.1558663175401,0.109239745397233,0.0725546837246979,0.0728058161830165,0.0894695128516722,0.131913583643323
1670,0.932278421663186,0.880977621775492,0.816284390549592,0.73530746754327,0.643161641575403,0.549604977682433,0.451955401547767,0.361463508557742,0.273937730860856,0.201843415389696,0.136339250078693,0.092240944650686,0.0576589216962707,0.0622366501755704,0.0838506293350184,0.129449504563815
1660,0.925458995616271,0.868743962717094,0.801792431017255,0.716410117343701,0.622681292521899,0.527516803583531,0.428524684589795,0.339439546373894,0.251834298323094,0.18249190173422,0.118769925201363,0.077326108669125,0.0452640146127951,0.0532831720907353,0.0790882270324631,0.127564159972182
1650,0.918304221625277,0.856674447635697,0.787538567031447,0.698229836121688,0.603092812906265,0.50653199910735,0.406555773700187,0.318811031211568,0.231498254986772,0.164781691730477,0.10305670073231,0.0643665737159919,0.0352635753594481,0.0458643810445899,0.0751245470945229,0.126173722118603
1640,0.910842943461937,0.844767260823652,0.773519820245914,0.680761560108343,0.584387423134884,0.486634496554439,0.386023476864501,0.299540499687089,0.212868099871005,0.148640429196916,0.0890925642740273,0.0532233177948711,0.0274745799860683,0.0398862433735962,0.0719102841479141,0.125198985474701
1630,0.903103795376178,0.833020601865251,0.759733236489756,0.664000046615082,0.566555997203222,0.467807606567822,0.366900980394472,0.281589187006211,0.19587925360226,0.133993228930116,0.0767663619797239,0.0437495923181109,0.0216658798505764,0.0352525196846243,0.0694046913071609,0.124564103089668
1620,0.895115158552416,0.821432685562928,0.746175885731902,0.647939921127951,0.549589153482941,0.450034183895799,0.349160326373117,0.264917387920494,0.180465016472363,0.120763420897194,0.0659640977563952,0.0357937536750075,0.0175924199780842,0.031876922912049,0.0675756855641105,0.124195525728203
1610,0.886905120898836,0.810001741863593,0.732844862045606,0.63257572568547,0.533477348379293,0.433296799048719,0.332772912826578,0.249484832465553,0.166557577646049,0.108873329811002,0.056570302898555,0.0292022946995521,0.0150351636356921,0.0296966073819195,0.0663999535553554,0.124021143790275
1600,0.878501440169676,0.798726015785131,0.719737283572955,0.617901968539975,0.518210972858767,0.417577915849715,0.317710016622693,0.235251076481192,0.154089075518048,0.0982450900881156,0.0484694761526221,0.0238230760377368,0.0138467231229734,0.0286869888832006,0.0658630577075624,0.123969632012716
1590,0.869711378387556,0.787430797648271,0.706670511154946,0.603626098884654,0.503513101425608,0.402494046031265,0.303544026351876,0.221820035577139,0.142620921245499,0.0884911619240321,0.0413199354445903,0.0193540040288708,0.0137081409134919,0.0287068707134898,0.0660719151641045,0.124309625384024
1580,0.859929056538796,0.775661101089116,0.693172444617018,0.588969695089291,0.488646531174909,0.38704348318628,0.289154000274618,0.208207944149292,0.131096712250522,0.0787486274510546,0.0344580610225025,0.0152770715268807,0.0136567094330255,0.0291882542451783,0.067329239604369,0.126039571909092
1570,0.849373559479107,0.763658329908403,0.679495496507759,0.574282269832461,0.473913560854418,0.371656343371686,0.274955486873528,0.194826124055704,0.119904645334725,0.0693909507293694,0.0281400593454168,0.0116981824414333,0.0136113966812456,0.0300382448413627,0.0695013567059706,0.128997953925729
1560,0.838326779495034,0.751710788652795,0.66593844564224,0.559983631925748,0.459678648754882,0.356838800880398,0.261440719656175,0.182138980519069,0.109475083540758,0.0607990792950354,0.0226001029838535,0.00870934292433245,0.0135722818953723,0.0312137435830935,0.0724266907229628,0.132929197745803
1550,0.82706438100442,0.740097961539097,0.652788412609558,0.546472803732227,0.446284272130997,0.343056876426466,0.249053345983148,0.170550505125574,0.100162820343691,0.0532602558184002,0.0179762474894654,0.0063408986520235,0.0135394477782696,0.0326725744900103,0.0759400693538354,0.137572408463077
1540,0.815855127973917,0.729090702996986,0.640321138856825,0.534129526142379,0.434052702184322,0.330739904920025,0.238193632562431,0.160410039374136,0.092255843106747,0.0469778804992416,0.014321726214341,0.00457083770710602,0.013512980747179,0.0343708068158487,0.0798640044870612,0.142652511079206
1530,0.804960634997682,0.71895195258599,0.628801895155775,0.523317277960511,0.423289191881411,0.320287390292017,0.229228084242,0.15202345834472,0.0859917655462362,0.0420911948353054,0.0116259545083646,0.00333975683896827,0.0134929711868534,0.0362606294028036,0.0840028525869938,0.14787472287377
1520,0.794635542037288,0.709937974286694,0.618487019451999,0.514387809701688,0.414286576607173,0.312079247368677,0.222503476100636,0.145669774485743,0.0815819292056677,0.0387047867642438,0.00984524329463664,0.00257149110354408,0.0134795137070907,0.0382887770947505,0.088139854720117,0.152922357018323
1510,0.785128112822816,0.702300120166182,0.609626084096818,0.507687191799174,0.407331287653466,0.306489430795796,0.218365298836969,0.141623161520555,0.0792431739390588,0.0369279171789514,0.00894322202295328,0.00219940688219197,0.0134727074046675,0.0403955092093229,0.0920370562216443,0.15745795743447
1500,0.776531092852818,0.696120698461805,0.602207238121425,0.50327704463005,0.402421188407619,0.303529490660379,0.216804653359259,0.139854000636198,0.0789967234981038,0.0367321824428129,0.00891624505261326,0.00224768554228503,0.0136253799510342,0.042621376056205,0.0955791992578386,0.161298027351958
1490,0.768113791545609,0.690525467496175,0.594900985060524,0.499595386715089,0.397986525973078,0.301149549460576,0.215742425227647,0.138550123425364,0.0795165851524575,0.0370599607825847,0.00963434674086908,0.00303951971710561,0.0148132094645078,0.0455394729573531,0.0994220024294183,0.165224299436579
1480,0.759852605556302,0.685351477914263,0.587731130144317,0.496328935534242,0.393837654045361,0.299000242325734,0.214802721288451,0.137389724211571,0.0804748290889629,0.0376798011884098,0.0110157377543733,0.00474157088946559,0.0170601224585282,0.049135210346943,0.10356587251222,0.169279239147698
1470,0.75187696858972,0.680603162943244,0.580991945379058,0.493454436659615,0.39008411040383,0.297114312736212,0.21399370223657,0.136385016782606,0.0817831949276308,0.0385535069294194,0.0130208322994952,0.00752115875556109,0.0202463068598679,0.0532598504337845,0.107854153010975,0.173327451340802
1460,0.74431362274491,0.676285189792979,0.574971121360114,0.490949317398698,0.38683369525365,0.295524360968413,0.213323572009408,0.135548245321756,0.0833529773991323,0.0396435466755627,0.0155982863694551,0.0114194145861218,0.0242057469306979,0.0577372437075901,0.112116789709704,0.177227079506179
1450,0.737286886014049,0.672402486632552,0.569951130701084,0.48879161413212,0.384193098442281,0.294263005649056,0.212800605616578,0.134891765132301,0.0850932836918993,0.0409117213695731,0.0186562982374681,0.0162316210549296,0.0286756385807932,0.0623580878069009,0.116170530474963,0.180830304652346
1440,0.730919034307951,0.668960270153942,0.566211345405299,0.486959903423556,0.38226869227391,0.293363066073691,0.212433178839934,0.134428130497629,0.0869098550115013,0.042318098385033,0.0220442924753057,0.0214572528254342,0.0332723886649241,0.0668784739575208,0.119820468912001,0.183984396044369
1430,0.725330798008155,0.665964073722844,0.564030908179723,0.485433236901807,0.381167489921838,0.292857765289449,0.212229799803927,0.134170189676971,0.0887044523523007,0.0438202129705363,0.025544987497275,0.0263197178954669,0.0374941982654358,0.0710227209814555,0.122862931873824,0.186533313797099
1420,0.720598872954337,0.663399717040511,0.563615977432515,0.484177286879512,0.381038491471576,0.292813516634086,0.212221228711821,0.134238755304881,0.0903928503384064,0.0453996262536935,0.028915520201174,0.0299716515477539,0.0408273218593379,0.0745364339860295,0.125140854503042,0.188365998208544
1410,0.716241015088755,0.661013937604199,0.564159029385208,0.483003293671698,0.382462318661777,0.293667467827262,0.212695260199349,0.13602316942227,0.0921443872177425,0.0473826998313417,0.0324563711255487,0.0332462144308526,0.0438649136235948,0.0778132311596189,0.127182083961656,0.189981244807961
1400,0.712139079990516,0.658767428579406,0.565437151406397,0.481890929238443,0.38548610769149,0.295471512631999,0.213690445358252,0.139749343734175,0.0940241781476325,0.0498595256181009,0.0363207153959439,0.036491866716664,0.046857679543603,0.0809971181612732,0.129129071924251,0.191511466392006
1390,0.708354954064248,0.656709987826157,0.567541553487442,0.480883710006894,0.389972292824761,0.298131054437244,0.215146541663909,0.145186176330787,0.0960275072367582,0.0528066714108788,0.0405219347947407,0.0396223652737606,0.0497690301017513,0.0840553130276209,0.13091381931927,0.19289771375384
1380,0.704950014632023,0.654891163183985,0.570565781571197,0.480024995527266,0.395788420789917,0.30155360223213,0.217004053955165,0.152111723987536,0.0981494998582423,0.0561993932787707,0.0450726465580624,0.0425442524991597,0.0525607111993914,0.0869539321982568,0.132466822361542,0.194080343670729
1370,0.701985282606397,0.653360333390129,0.574606397161189,0.479358045635285,0.402804396244944,0.305647386518389,0.21920360067117,0.160297131087783,0.100385080370191,0.0600095688840472,0.0499846146892745,0.0451590609691681,0.0551932186325623,0.0896582660951972,0.133717596986041,0.194999287278394
1360,0.699521604059239,0.652166808405901,0.579763726275488,0.478926097494106,0.410890040870139,0.310320154178864,0.221685374926011,0.169493845038776,0.10272893323203,0.0642039444570247,0.0552686659622087,0.0473659594446235,0.0576262595311238,0.0921330863185424,0.134595367024357,0.195594405164671
1350,0.697619860686369,0.651359949151239,0.586142677745282,0.478772462515685,0.419912966088049,0.315478142302105,0.224388700421134,0.179424118180829,0.10517546751664,0.0687426954248197,0.060934610614114,0.0490648402305313,0.0598192607613005,0.0943429844583464,0.135029916123876,0.195805929182495
