Wavelength_nm_,x_gamma_60Nm,x_gamma_80Nm,x_gamma_100Nm,x_gamma_120Nm,x_gamma__infty
1300,0.188413043516811,0.171084837254102,0.165546509041819,0.164409272655395,0.188757372296564
1301,0.188253047543813,0.171007218396848,0.165524538936267,0.164417605647726,0.188749528696197
1302,0.188093617306036,0.170929990969664,0.16550273889361,0.164425977346668,0.18874183114268
1303,0.187934751500943,0.170853154071329,0.165481108522298,0.164434387663104,0.188734279299757
1304,0.187776448829992,0.170776706803387,0.165459647431983,0.16444283650819,0.188726872832205
1305,0.187618707998621,0.170700648270136,0.165438355233514,0.164451323793354,0.188719611405828
1306,0.187461527716236,0.170624977578618,0.165417231538929,0.164459849430296,0.188712494687452
1307,0.187304906696188,0.170549693838606,0.165396275961458,0.164468413330985,0.188705522344925
1308,0.187148843655767,0.170474796162597,0.165375488115509,0.164477015407661,0.188698694047109
1309,0.18699333731618,0.1704002836658,0.165354867616672,0.164485655572832,0.188692009463879
1310,0.18683838640254,0.170326155466125,0.16533441408171,0.164494333739271,0.188685468266119
1311,0.186683989643849,0.170252410684173,0.165314127128554,0.164503049820019,0.188679070125714
1312,0.186530145772986,0.170179048443228,0.165294006376299,0.164511803728382,0.188672814715551
1313,0.186376853526686,0.170106067869241,0.165274051445203,0.16452059537793,0.188666701709515
1314,0.186224111645534,0.170033468090829,0.16525426195668,0.164529424682495,0.188660730782482
1315,0.186071918873944,0.169961248239255,0.165234637533292,0.164538291556173,0.188654901610317
1316,0.185920273960145,0.169889407448426,0.165215177798753,0.16454719591332,0.188649213869871
1317,0.185769175656171,0.169817944854877,0.165195882377917,0.164556137668551,0.188643667238975
1318,0.185618622717842,0.169746859597763,0.165176750896776,0.164565116736743,0.18863826139644
1319,0.185468613904749,0.169676150818853,0.165157782982458,0.164574133033029,0.188632996022049
1320,0.185319147980246,0.169605817662514,0.165138978263221,0.164583186472798,0.188627870796558
1321,0.185170223711428,0.169535859275705,0.165120336368447,0.1645922769717,0.188622885401686
1322,0.185021839869121,0.169466274807966,0.16510185692864,0.164601404445635,0.188618039520118
1323,0.18487399522787,0.169397063411406,0.165083539575422,0.164610568810761,0.188613332835496
1324,0.18472668856592,0.169328224240699,0.165065383941528,0.164619769983485,0.188608765032421
1325,0.184579918665203,0.16925975645307,0.165047389660799,0.164629007880472,0.188604335796442
1326,0.184433684311328,0.169191659208285,0.165029556368184,0.164638282418634,0.188600044814061
1327,0.184287984293565,0.169123931668643,0.165011883699731,0.164647593515134,0.188595891772721
1328,0.184142817404827,0.169056572998968,0.164994371292583,0.164656941087387,0.188591876360809
1329,0.183998182441664,0.168989582366595,0.164977018784978,0.164666325053054,0.188587998267649
1330,0.183854078204244,0.168922958941366,0.16495982581624,0.164675745330046,0.1885842571835
1331,0.18371050349634,0.168856701895616,0.164942792026776,0.164685201836517,0.18858065279955
1332,0.183567457125318,0.168790810404166,0.164925917058075,0.164694694490871,0.188577184807917
1333,0.183424937902122,0.168725283644313,0.164909200552701,0.164704223211754,0.188573852901641
1334,0.183282944641264,0.168660120795821,0.16489264215429,0.164713787918058,0.188570656774682
1335,0.183141476160805,0.168595321040912,0.164876241507545,0.164723388528915,0.18856759612192
1336,0.183000531282346,0.168530883564256,0.164859998258233,0.164733024963701,0.188564670639145
1337,0.182860108831014,0.168466807552962,0.164843912053181,0.164742697142036,0.188561880023058
1338,0.182720207635448,0.16840309219657,0.164827982540273,0.164752404983775,0.188559223971269
1339,0.182580826527783,0.16833973668704,0.164812209368442,0.164762148409015,0.188556702182289
1340,0.182441964343647,0.168276740218745,0.164796592187672,0.164771927338093,0.18855431435553
1341,0.182303619922135,0.168214101988461,0.164781130648989,0.164781741691581,0.188552060191299
1342,0.182165792105805,0.168151821195359,0.16476582440446,0.164791591390289,0.188549939390798
1343,0.182028479740661,0.168089897040992,0.164750673107188,0.164801476355263,0.188547951656121
1344,0.181891681676145,0.168028328729292,0.164735676411308,0.164811396507783,0.188546096690242
1345,0.181755396765115,0.167967115466558,0.164720833971987,0.164821351769364,0.188544374197024
1346,0.181619623863842,0.167906256461448,0.16470614544541,0.164831342061753,0.188542783881209
1347,0.181484361831993,0.167845750924969,0.16469161048879,0.164841367306933,0.188541325448415
1348,0.181349609532619,0.16778559807047,0.164677228760353,0.164851427427114,0.188539998605134
1349,0.181215365832139,0.167725797113633,0.164662999919339,0.164861522344739,0.188538803058728
1350,0.181081629600335,0.167666347272461,0.164648923625998,0.16487165198248,0.188537738517425
1351,0.180948399710334,0.167607247767278,0.164634999541587,0.164881816263238,0.18853680469032
1352,0.180815675038595,0.167548497820708,0.164621227328365,0.164892015110144,0.188536001287365
1353,0.180683454464901,0.167490096657678,0.164607606649587,0.164902248446553,0.188535328019372
1354,0.180551736872344,0.167432043505402,0.164594137169505,0.164912516196048,0.188534784598007
1355,0.180420521147312,0.167374337593378,0.164580818553363,0.164922818282439,0.188534370735786
1356,0.180289806179477,0.167316978153375,0.16456765046739,0.164933154629759,0.188534086146073
1357,0.180159590861788,0.167259964419426,0.1645546325788,0.164943525162265,0.18853393054308
1358,0.180029874090452,0.167203295627822,0.164541764555788,0.164953929804437,0.188533903641855
1359,0.179900654764924,0.1671469710171,0.164529046067525,0.164964368480979,0.188534005158292
1360,0.179771931787898,0.167090989828038,0.164516476784154,0.164974841116814,0.188534234809114
1361,0.179643704065292,0.167035351303645,0.164504056376789,0.164985347637088,0.18853459231188
1362,0.179515970506237,0.166980054689152,0.16449178451751,0.164995887967164,0.188535077384978
1363,0.179388730023064,0.166925099232008,0.164479660879357,0.165006462032627,0.188535689747622
1364,0.179261981531299,0.166870484181865,0.164467685136332,0.165017069759279,0.18853642911985
1365,0.179135723949639,0.166816208790576,0.164455856963389,0.165027711073139,0.188537295222519
