Wavelength_nm_,x_gamma__infty_N__SWG__14,x_gamma__infty_N__SWG__10,x_gamma__infty_N__SWG__6,x_gamma__infty_N__SWG__2,x_gamma_120_N__SWG__14,x_gamma_120_N__SWG__10,x_gamma_120_N__SWG__6,x_gamma_120_N__SWG__2,x_gamma_100_N__SWG__14,x_gamma_100_N__SWG__10,x_gamma_100_N__SWG__6,x_gamma_100_N__SWG__2,x_gamma_80_N__SWG__14,x_gamma_80_N__SWG__10,x_gamma_80_N__SWG__6,x_gamma_80_N__SWG__2,x_gamma_60_N__SWG__14,x_gamma_60_N__SWG__10,x_gamma_60_N__SWG__6,x_gamma_60_N__SWG__2
1.3,3.32079313505968,2.3719950964712,1.42319705788272,0.47439901929424,2.89243899367489,2.06602785262492,1.23961671157495,0.413205570524984,2.912446301146,2.08031878653286,1.24819127191971,0.416063757306571,3.00988166000531,2.14991547143236,1.28994928285942,0.429983094286473,3.31473538677628,2.36766813341163,1.42060088004698,0.473533626682326
1.301,3.32065514323485,2.37189653088204,1.42313791852922,0.474379306176407,2.89258559533283,2.06613256809488,1.23967954085693,0.413226513618976,2.91205978286168,2.08004270204406,1.24802562122644,0.416008540408812,3.00851611774763,2.14894008410545,1.28936405046327,0.429788016821089,3.31192059060539,2.36565756471813,1.41939453883088,0.473131512943627
1.302,3.3205197208004,2.37179980057172,1.42307988034303,0.474359960114343,2.89273287795305,2.06623776996646,1.23974266197988,0.413247553993292,2.91167625648007,2.07976875462862,1.24786125277717,0.415953750925724,3.0071574618874,2.14796961563386,1.28878176938032,0.429593923126772,3.30911574736833,2.36365410526309,1.41819246315786,0.472730821052619
1.303,3.32038686184061,2.37170490131472,1.42302294078883,0.474340980262945,2.89288083996769,2.06634345711978,1.23980607427187,0.413268691423956,2.91129571511267,2.07949693936619,1.24769816361971,0.415899387873238,3.00580567656954,2.14700405469253,1.28820243281552,0.429400810938506,3.30632083414968,2.36165773867834,1.41699464320701,0.472331547735669
1.304,3.32025656045793,2.37161182889852,1.42296709733911,0.474322365779704,2.89302947981375,2.06644962843839,1.23986977706304,0.413289925687679,2.91091815189211,2.0792272513515,1.2475363508109,0.415845450270301,3.00446074598756,2.14604338999111,1.28762603399467,0.429208677998222,3.3035358281043,2.35966844864593,1.41580106918756,0.471933689729185
1.305,3.32012881077287,2.37152057912348,1.42291234747409,0.474304115824695,2.89317879593298,2.06655628280927,1.23993376968556,0.413311256561855,2.91054355997208,2.07895968569434,1.2473758114166,0.415791937138868,3.00312265438346,2.1450876102739,1.28705256616434,0.42901752205478,3.30076070645707,2.35768621889791,1.41461173133875,0.471537243779582
1.306,3.32000360692394,2.37143114780281,1.42285868868169,0.474286229560562,2.89332878677192,2.0666634191228,1.23999805147368,0.41333268382456,2.91017193252722,2.07869423751945,1.24721654251167,0.415738847503889,3.00179138604749,2.14413670431964,1.28648202259178,0.428827340863927,3.29799544650265,2.35571103321618,1.41342661992971,0.471142206643236
1.307,3.31988094306759,2.37134353076256,1.42280611845754,0.474268706152513,2.89347945078187,2.06677103627277,1.24006262176366,0.413354207254554,2.90980326275311,2.07843090196651,1.2470585411799,0.415686180393301,3.00046692531798,2.14319066094141,1.28591439656485,0.428638132188283,3.29524002560517,2.35374287543227,1.41224572525936,0.470748575086453
1.308,3.31976081337817,2.37125772384155,1.42275463430493,0.474251544768309,2.89363078641887,2.06687913315634,1.2401274798938,0.413375826631268,2.90943754386605,2.07816967419004,1.24690180451402,0.415633934838007,2.99914925658114,2.14224946898653,1.28534968139192,0.428449893797306,3.29249442119798,2.35178172942713,1.41106903765628,0.470356345885426
1.309,3.31964321204779,2.37117372289128,1.42270423373477,0.474234744578255,2.89378279214366,2.06698770867404,1.24019262520442,0.413397541734808,2.90907476910317,2.0779105493594,1.24674632961564,0.415582109871881,2.99783836427093,2.14131311733638,1.28478787040183,0.428262623467276,3.2897586107834,2.349827579131,1.4098965474786,0.4699655158262
