Wavelength_nm_,m
1500.344,-0.0747752703080816
1500.348,-0.0747753122259904
1500.352,-0.0747753536689577
1500.356,-0.0747753946373983
1500.36,-0.0747754351319789
1500.364,-0.0747754751531324
1500.368,-0.0747755147015146
1500.372,-0.0747755537777665
1500.376,-0.0747755923823926
1500.38,-0.074775630516048
1500.384,-0.0747756681792364
1500.388,-0.074775705372548
1500.392,-0.0747757420966135
1500.396,-0.074775778351972
1500.4,-0.0747758141389387
1500.404,-0.0747758494581633
1500.408,-0.0747758843102234
1500.412,-0.0747759186956641
1500.416,-0.0747759526148224
1500.42,-0.0747759860682927
1500.424,-0.074776019056455
1500.428,-0.074776051579907
1500.432,-0.0747760836391229
1500.436,-0.0747761152346243
1500.44,-0.0747761463669032
1500.444,-0.0747761770366513
1500.448,-0.0747762072443667
1500.452,-0.0747762369904323
1500.456,-0.0747762662752947
1500.46,-0.0747762950992405
1500.464,-0.0747763234627036
1500.468,-0.0747763513660181
1500.472,-0.0747763788095343
1500.476,-0.0747764057936409
1500.48,-0.0747764323186593
1500.484,-0.0747764583849126
1500.488,-0.0747764839926042
1500.492,-0.0747765091419112
1500.496,-0.0747765338331967
1500.5,-0.0747765580667575
1500.504,-0.0747765818430157
1500.508,-0.0747766051621188
1500.512,-0.0747766280246741
1500.516,-0.0747766504309009
1500.52,-0.0747766723811478
1500.524,-0.0747766938757881
1500.528,-0.0747767149149774
1500.532,-0.0747767354990367
1500.536,-0.0747767556281412
1500.54,-0.0747767753024196
1500.544,-0.0747767945221368
1500.548,-0.0747768132874104
1500.552,-0.0747768315985244
1500.556,-0.0747768494555742
1500.56,-0.0747768668588242
1500.564,-0.0747768838086405
1500.568,-0.0747769003052357
1500.572,-0.0747769163486708
1500.576,-0.0747769319389283
1500.58,-0.074776947076375
1500.584,-0.0747769617610789
1500.588,-0.0747769759929784
1500.592,-0.0747769897724483
1500.596,-0.0747770030997147
1500.6,-0.0747770159749627
1500.604,-0.074777028398149
1500.608,-0.0747770403694103
1500.612,-0.0747770518887343
1500.616,-0.0747770629561113
1500.62,-0.074777073571763
1500.624,-0.0747770837360081
1500.628,-0.0747770934486789
1500.632,-0.0747771027100862
1500.636,-0.0747771115204004
1500.64,-0.0747771198798494
1500.644,-0.0747771277883703
1500.648,-0.0747771352461241
1500.652,-0.0747771422531335
1500.656,-0.0747771488095487
1500.66,-0.0747771549152561
1500.664,-0.0747771605702458
1500.668,-0.0747771657750423
1500.672,-0.0747771705293429
1500.676,-0.0747771748332484
1500.68,-0.074777178686972
1500.684,-0.0747771820908803
1500.688,-0.0747771850448814
1500.692,-0.0747771875490947
1500.696,-0.0747771896036621
1500.7,-0.0747771912086724
1500.704,-0.0747771923641006
1500.708,-0.0747771930704784
1500.712,-0.074777193327705
1500.716,-0.0747771931357616
1500.72,-0.0747771924950558
1500.724,-0.0747771914056091
1500.728,-0.0747771898674687
1500.732,-0.0747771878807459
1500.736,-0.0747771854454867
1500.74,-0.0747771825617816
1500.744,-0.0747771792299827
1500.748,-0.0747771754502186
1500.752,-0.0747771712226949
1500.756,-0.0747771665476789
1500.76,-0.0747771614252187
1500.764,-0.0747771558558733
1500.768,-0.0747771498395906
1500.772,-0.0747771433765818
1500.776,-0.074777136467119
1500.78,-0.0747771291114532
1500.784,-0.0747771213096466
