Wavelength_nm_,m
1500.276,-0.0747490319588138
1500.28,-0.0747490793405186
1500.284,-0.0747491269782894
1500.288,-0.074749174872078
1500.292,-0.0747492230217486
1500.296,-0.074749271427232
1500.3,-0.0747493200884103
1500.304,-0.0747493690052035
1500.308,-0.0747494181772519
1500.312,-0.0747494676046492
1500.316,-0.0747495172871665
1500.32,-0.0747495672247654
1500.324,-0.0747496174172487
1500.328,-0.074749667864698
1500.332,-0.0747497185667913
1500.336,-0.0747497695234965
1500.34,-0.0747498207347383
1500.344,-0.0747498721998737
1500.348,-0.0747499239187242
1500.352,-0.0747499758914145
1500.356,-0.0747500281176454
1500.36,-0.074750080597249
1500.364,-0.074750133330057
1500.368,-0.074750186315726
1500.372,-0.074750239554474
1500.376,-0.0747502930458139
1500.38,-0.074750346789227
1500.384,-0.0747504007842851
1500.388,-0.0747504550306748
1500.392,-0.0747505095280277
1500.396,-0.0747505642530165
1500.4,-0.0747506191340136
1500.404,-0.0747506741708305
1500.408,-0.0747507293632986
1500.412,-0.0747507847113352
1500.416,-0.0747508402149312
1500.42,-0.0747508958736651
1500.424,-0.0747509516874087
1500.428,-0.0747510076562057
1500.432,-0.0747510637797496
1500.436,-0.0747511200579895
1500.44,-0.0747511764904834
1500.444,-0.074751233077105
1500.448,-0.0747512898176274
1500.452,-0.0747513467116811
1500.456,-0.0747514037590192
1500.46,-0.0747514609596826
1500.464,-0.0747515183131149
1500.468,-0.0747515758191114
1500.472,-0.0747516334775256
1500.476,-0.0747516912883255
1500.48,-0.0747517492511388
1500.484,-0.0747518073657657
1500.488,-0.0747518656322538
1500.492,-0.0747519240503478
1500.496,-0.0747519826204151
1500.5,-0.0747520413418526
1500.504,-0.0747521002147547
1500.508,-0.074752159239132
1500.512,-0.0747522184149365
1500.516,-0.0747522777420488
1500.52,-0.0747523372201605
1500.524,-0.0747523968496543
1500.528,-0.0747524566298436
1500.532,-0.0747525165606878
1500.536,-0.0747525766422457
1500.54,-0.0747526368745837
1500.544,-0.0747526972570352
1500.548,-0.0747527577896618
1500.552,-0.0747528184721809
1500.556,-0.0747528793046608
1500.56,-0.0747529402869868
1500.564,-0.0747530014190487
1500.568,-0.0747530627011411
1500.572,-0.0747531241327223
1500.576,-0.0747531857138161
1500.58,-0.0747532474447595
1500.584,-0.0747533093250949
1500.588,-0.0747533713547309
1500.592,-0.0747534335335616
1500.596,-0.0747534958613096
1500.6,-0.0747535583378618
1500.604,-0.0747536209631065
1500.608,-0.074753683737045
1500.612,-0.0747537466591817
1500.616,-0.074753809728931
1500.62,-0.0747538729465973
1500.624,-0.0747539363113884
1500.628,-0.0747539998233443
1500.632,-0.0747540634822589
1500.636,-0.0747541272881225
1500.64,-0.0747541912406338
1500.644,-0.0747542553394534
1500.648,-0.0747543195842757
1500.652,-0.0747543839748902
1500.656,-0.0747544485109944
1500.66,-0.0747545131921481
1500.664,-0.0747545780181692
1500.668,-0.0747546429885309
1500.672,-0.0747547081031158
1500.676,-0.0747547733612713
1500.68,-0.0747548387627513
1500.684,-0.0747549043070565
1500.688,-0.0747549699938465
1500.692,-0.0747550358228884
1500.696,-0.0747551017935461
1500.7,-0.0747551679057955
1500.704,-0.0747552341592343
1500.708,-0.0747553005532898
1500.712,-0.0747553670877208
1500.716,-0.0747554337621437
1500.72,-0.0747555005765154
1500.724,-0.0747555675307623
1500.728,-0.0747556346247376
1500.732,-0.0747557018579978
1500.736,-0.0747557692302984
1500.74,-0.0747558367414567
1500.744,-0.0747559043912277
1500.748,-0.0747559721791971
1500.752,-0.0747560401049256
1500.756,-0.0747561081681686
1500.76,-0.0747561763686234
1500.764,-0.0747562447059037
1500.768,-0.074756313179951
1500.772,-0.0747563817908479
1500.776,-0.074756450538156
1500.78,-0.0747565194220313
1500.784,-0.0747565884421371
1500.788,-0.0747566575985548
1500.792,-0.0747567268913547
1500.796,-0.0747567963202112
1500.8,-0.0747568658849681
1500.804,-0.0747569355857898
1500.808,-0.0747570054222081
1500.812,-0.0747570753943226
