Wavelength__mum_,TE_0_gamma__infty,TE_2_gamma__infty,TE_2_gamma_120_mum,TE_0_gamma_120_mum,TE_2_gamma_100_mum,TE_0_gamma_100_mum,TE_2_gamma_80_mum,TE_0_gamma_80_mum,TE_2_gamma_60_mum,TE_0_gamma_60_mum
1.323,2.55019088989812,2.30065545055675,2.03921368011092,2.25699346264756,1.99700787921163,2.21541340206991,1.93937448582741,2.1634868007207,1.84915159287299,2.09373988855946
1.324,2.54919276741122,2.2994747625083,2.03810520135042,2.25606177680856,1.99595360176252,2.21450017010111,1.93839626590623,2.16258683480091,1.84825938867241,2.09283752433369
1.325,2.54819572386421,2.29829497893393,2.03699788521427,2.25513132065589,1.99490037974303,2.21358817104359,1.93741895973803,2.16168813703835,1.84736814924993,2.09193654148132
1.326,2.54719975925709,2.29711609983364,2.03589173170247,2.25420209418957,1.99384821315315,2.21267740489736,1.93644256732282,2.16079070743301,1.84647787460554,2.09103694000236
1.327,2.54620487358984,2.29593812520744,2.03478674081501,2.2532740974096,1.99279710199288,2.21176787166242,1.93546708866061,2.1598945459849,1.84558856473924,2.0901387198968
1.328,2.54521106686248,2.29476105505533,2.03368291255191,2.25234733031596,1.99174704626223,2.21085957133878,1.93449252375138,2.15899965269401,1.84470021965103,2.08924188116464
1.329,2.544218339075,2.2935848893773,2.03258024691316,2.25142179290866,1.99069804596118,2.20995250392642,1.93351887259515,2.15810602756035,1.84381283934092,2.08834642380589
1.33,2.54322669022741,2.29240962817335,2.03147874389875,2.25049748518771,1.98965010108975,2.20904666942535,1.9325461351919,2.15721367058392,1.8429264238089,2.08745234782055
1.331,2.5422361203197,2.29123527144349,2.0303784035087,2.2495744071531,1.98860321164794,2.20814206783558,1.93157431154165,2.15632258176471,1.84204097305498,2.08655965320861
1.332,2.54124662935186,2.29006181918772,2.02927922574299,2.24865255880483,1.98755737763573,2.20723869915709,1.93060340164438,2.15543276110273,1.84115648707915,2.08566833997007
1.333,2.54025821732392,2.28888927140603,2.02818121060163,2.2477319401429,1.98651259905314,2.20633656338989,1.92963340550011,2.15454420859798,1.84027296588141,2.08477840810494
1.334,2.53927088423585,2.28771762809843,2.02708435808463,2.24681255116732,1.98546887590016,2.20543566053399,1.92866432310882,2.15365692425045,1.83939040946176,2.08388985761321
1.335,2.53828463008767,2.28654688926491,2.02598866819197,2.24589439187807,1.9844262081768,2.20453599058937,1.92769615447053,2.15277090806015,1.83850881782021,2.08300268849488
1.336,2.53729945487937,2.28537705490547,2.02489414092366,2.24497746227517,1.98338459588305,2.20363755355605,1.92672889958523,2.15188616002707,1.83762819095675,2.08211690074996
1.337,2.53631535861096,2.28420812502013,2.02380077627971,2.24406176235861,1.98234403901891,2.20274034943401,1.92576255845291,2.15100268015122,1.83674852887138,2.08123249437845
1.338,2.53533234128242,2.28304009960886,2.0227085742601,2.24314729212839,1.98130453758438,2.20184437822327,1.92479713107359,2.1501204684326,1.83586983156411,2.08034946938034
1.339,2.53435040289377,2.28187297867169,2.02161753486484,2.24223405158451,1.98026609157947,2.20094963992381,1.92383261744725,2.1492395248712,1.83499209903493,2.07946782575563
1.34,2.533369543445,2.28070676220859,2.02052765809393,2.24132204072698,1.97922870100417,2.20005613453565,1.92286901757391,2.14835984946703,1.83411533128384,2.07858756350433
1.341,2.53238976293612,2.27954145021958,2.01943894394737,2.24041125955579,1.97819236585848,2.19916386205878,1.92190633145355,2.14748144222008,1.83323952831085,2.07770868262643
1.342,2.53141106136711,2.27837704270466,2.01835139242517,2.23950170807093,1.97715708614241,2.19827282249319,1.92094455908619,2.14660430313036,1.83236469011595,2.07683118312194
1.343,2.530433438738,2.27721353966383,2.01726500352731,2.23859338627242,1.97612286185595,2.1973830158389,1.91998370047182,2.14572843219787,1.83149081669914,2.07595506499085
1.344,2.52945689504876,2.27605094109707,2.0161797772538,2.23768629416026,1.9750896929991,2.1964944420959,1.91902375561043,2.1448538294226,1.83061790806043,2.07508032823317
1.345,2.5284814302994,2.27488924700441,2.01509571360464,2.23678043173443,1.97405757957186,2.19560710126418,1.91806472450204,2.14398049480456,1.82974596419981,2.07420697284889
1.346,2.52750704448993,2.27372845738582,2.01401281257982,2.23587579899494,1.97302652157424,2.19472099334376,1.91710660714663,2.14310842834374,1.82887498511728,2.07333499883801
1.347,2.52653373762034,2.27256857224133,2.01293107417936,2.2349723959418,1.97199651900623,2.19383611833463,1.91614940354422,2.14223763004015,1.82800497081285,2.07246440620054
1.348,2.52556150969064,2.27140959157092,2.01185049840325,2.234070222575,1.97096757186783,2.19295247623679,1.9151931136948,2.14136809989379,1.82713592128651,2.07159519493648
1.349,2.52459036070081,2.27025151537459,2.01077108525149,2.23316927889454,1.96993968015905,2.19207006705024,1.91423773759836,2.14049983790465,1.82626783653826,2.07072736504582
1.35,2.52362029065087,2.26909434365235,2.00969283472408,2.23226956490042,1.96891284387988,2.19118889077497,1.91328327525492,2.13963284407274,1.82540071656811,2.06986091652856
1.351,2.52265129954082,2.26793807640419,2.00861574682101,2.23137108059265,1.96788706303032,2.190308947411,1.91232972666447,2.13876711839806,1.82453456137605,2.06899584938471
1.352,2.52168338737064,2.26678271363012,2.0075398215423,2.23047382597122,1.96686233761037,2.18943023695832,1.911377091827,2.1379026608806,1.82366937096208,2.06813216361426
1.353,2.52071655414035,2.26562825533014,2.00646505888794,2.22957780103612,1.96583866762004,2.18855275941693,1.91042537074253,2.13703947152037,1.8228051453262,2.06726985921721
1.354,2.51975079984994,2.26447470150424,2.00539145885792,2.22868300578737,1.96481605305932,2.18767651478683,1.90947456341105,2.13617755031736,1.82194188446842,2.06640893619358
1.355,2.51878612449941,2.26332205215242,2.00431902145226,2.22778944022496,1.96379449392821,2.18680150306802,1.90852466983255,2.13531689727158,1.82107958838873,2.06554939454334
1.356,2.51782252808877,2.26217030727469,2.00324774667094,2.2268971043489,1.96277399022672,2.1859277242605,1.90757569000705,2.13445751238303,1.82021825708714,2.06469123426651
1.357,2.51686001061801,2.26101946687105,2.00217763451398,2.22600599815917,1.96175454195484,2.18505517836427,1.90662762393454,2.1335993956517,1.81935789056364,2.06383445536308
1.358,2.51589857208713,2.25986953094149,2.00110868498136,2.22511612165579,1.96073614911257,2.18418386537933,1.90568047161501,2.1327425470776,1.81849848881823,2.06297905783306
1.359,2.51493821249613,2.25872049948602,2.0000408980731,2.22422747483875,1.95971881169992,2.18331378530568,1.90473423304848,2.13188696666072,1.81764005185091,2.06212504167645
1.36,2.51397893184502,2.25757237250463,1.99897427378918,2.22334005770805,1.95870252971687,2.18244493814332,1.90378890823494,2.13103265440107,1.81678257966169,2.06127240689323
1.361,2.51302073013379,2.25642514999732,1.99790881212961,2.22245387026369,1.95768730316345,2.18157732389226,1.90284449717439,2.13017961029865,1.81592607225056,2.06042115348342
1.362,2.51206360736244,2.2552788319641,1.9968445130944,2.22156891250567,1.95667313203963,2.18071094255248,1.90190099986682,2.12932783435345,1.81507052961753,2.05957128144702
1.363,2.51110756353098,2.25413341840497,1.99578137668353,2.220685184434,1.95566001634543,2.17984579412399,1.90095841631225,2.12847732656548,1.81421595176258,2.05872279078402
1.364,2.5101525986394,2.25298890931992,1.99471940289701,2.21980268604867,1.95464795608084,2.17898187860679,1.90001674651067,2.12762808693473,1.81336233868574,2.05787568149443
1.365,2.5091987126877,2.25184530470896,1.99365859173484,2.21892141734968,1.95363695124586,2.17811919600088,1.89907599046208,2.12678011546121,1.81250969038698,2.05702995357824
1.366,2.50824590567588,2.25070260457208,1.99259894319702,2.21804137833703,1.95262700184049,2.17725774630627,1.89813614816647,2.12593341214492,1.81165800686632,2.05618560703545
1.367,2.50729417760395,2.24956080890929,1.99154045728356,2.21716256901072,1.95161810786474,2.17639752952294,1.89719721962386,2.12508797698585,1.81080728812375,2.05534264186607
1.368,2.5063435284719,2.24841991772058,1.99048313399444,2.21628498937076,1.9506102693186,2.1755385456509,1.89625920483424,2.12424380998401,1.80995753415927,2.05450105807009
1.369,2.50539395827973,2.24727993100596,1.98942697332967,2.21540863941713,1.94960348620208,2.17468079469016,1.89532210379761,2.1234009111394,1.80910874497289,2.05366085564752
1.37,2.50444546702744,2.24614084876542,1.98837197528925,2.21453351914985,1.94859775851516,2.1738242766407,1.89438591651396,2.12255928045201,1.8082609205646,2.05282203459835
1.371,2.50349805471504,2.24500267099897,1.98731813987318,2.21365962856891,1.94759308625786,2.17296899150254,1.89345064298331,2.12171891792185,1.8074140609344,2.05198459492259
1.372,2.50255172134252,2.2438653977066,1.98626546708145,2.21278696767431,1.94658946943018,2.17211493927566,1.89251628320565,2.12087982354891,1.8065681660823,2.05114853662023
1.373,2.50160646690988,2.24272902888832,1.98521395691408,2.21191553646606,1.9455869080321,2.17126211996007,1.89158283718098,2.1200419973332,1.80572323600829,2.05031385969127
1.374,2.50066229141713,2.24159356454412,1.98416360937106,2.21104533494414,1.94458540206364,2.17041053355578,1.8906503049093,2.11920543927471,1.80487927071237,2.04948056413572
1.375,2.49971919486426,2.24045900467401,1.98311442445239,2.21017636310857,1.94358495152479,2.16956018006277,1.88971868639061,2.11837014937346,1.80403627019455,2.04864864995358
1.376,2.49877717725127,2.23932534927799,1.98206640215807,2.20930862095934,1.94258555641556,2.16871105948106,1.8887879816249,2.11753612762942,1.80319423445482,2.04781811714483
1.377,2.49783623857816,2.23819259835604,1.98101954248809,2.20844210849645,1.94158721673594,2.16786317181064,1.88785819061219,2.11670337404262,1.80235316349318,2.0469889657095
1.378,2.49689637884494,2.23706075190819,1.97997384544247,2.2075768257199,1.94058993248593,2.1670165170515,1.88692931335247,2.11587188861304,1.80151305730963,2.04616119564757
1.379,2.4959575980516,2.23592980993442,1.9789293110212,2.2067127726297,1.93959370366553,2.16617109520366,1.88600134984574,2.11504167134068,1.80067391590418,2.04533480695904
1.38,2.49501989619814,2.23479977243473,1.97788593922427,2.20584994922583,1.93859853027474,2.1653269062671,1.885074300092,2.11421272222556,1.79983573927682,2.04450979964391
1.381,2.49408327328457,2.23367063940913,1.9768437300517,2.20498835550831,1.93760441231357,2.16448395024184,1.88414816409125,2.11338504126765,1.79899852742756,2.04368617370219
1.382,2.49314772931087,2.23254241085762,1.97580268350347,2.20412799147713,1.93661134978202,2.16364222712787,1.88322294184349,2.11255862846698,1.79816228035639,2.04286392913388
1.383,2.49221326427707,2.23141508678019,1.9747627995796,2.20326885713229,1.93561934268007,2.16280173692519,1.88229863334871,2.11173348382353,1.79732699806331,2.04204306593897
1.384,2.49127987818314,2.23028866717684,1.97372407828007,2.20241095247379,1.93462839100774,2.16196247963379,1.88137523860693,2.11090960733731,1.79649268054833,2.04122358411746
1.385,2.49034757102909,2.22916315204758,1.97268651960489,2.20155427750164,1.93363849476502,2.16112445525369,1.88045275761814,2.11008699900831,1.79565932781143,2.04040548366936
1.386,2.48941634281493,2.22803854139241,1.97165012355407,2.20069883221583,1.93264965395191,2.16028766378488,1.87953119038234,2.10926565883654,1.79482693985264,2.03958876459466
1.387,2.48848619354066,2.22691483521132,1.97061489012759,2.19984461661635,1.93166186856842,2.15945210522736,1.87861053689953,2.10844558682199,1.79399551667193,2.03877342689337
1.388,2.48755712320626,2.22579203350432,1.96958081932546,2.19899163070322,1.93067513861454,2.15861777958113,1.87769079716971,2.10762678296467,1.79316505826932,2.03795947056548
1.389,2.48662913181175,2.2246701362714,1.96854791114769,2.19813987447644,1.92968946409027,2.15778468684618,1.87677197119288,2.10680924726458,1.7923355646448,2.037146895611
1.39,2.48570221935712,2.22354914351256,1.96751616559426,2.19728934793599,1.92870484499562,2.15695282702253,1.87585405896904,2.10599297972171,1.79150703579837,2.03633570202992
1.391,2.48477638584237,2.22242905522781,1.96648558266518,2.19644005108189,1.92772128133058,2.15612220011017,1.87493706049819,2.10517798033607,1.79067947173004,2.03552588982225
1.392,2.4838516312675,2.22130987141715,1.96545616236045,2.19559198391412,1.92673877309515,2.1552928061091,1.87402097578033,2.10436424910766,1.7898528724398,2.03471745898798
1.393,2.48292795563252,2.22019159208057,1.96442790468007,2.1947451464327,1.92575732028933,2.15446464501932,1.87310580481546,2.10355178603647,1.78902723792766,2.03391040952711
1.394,2.48200535893742,2.21907421721808,1.96340080962404,2.19389953863762,1.92477692291313,2.15363771684083,1.87219154760358,2.10274059112251,1.7882025681936,2.03310474143965
1.395,2.48108384118221,2.21795774682967,1.96237487719236,2.19305516052889,1.92379758096654,2.15281202157363,1.87127820414469,2.10193066436577,1.78737886323764,2.03230045472559
1.396,2.48016340236687,2.21684218091535,1.96135010738503,2.19221201210649,1.92281929444956,2.15198755921772,1.87036577443879,2.10112200576626,1.78655612305978,2.03149754938494
1.397,2.47924404249142,2.21572751947511,1.96032650020205,2.19137009337044,1.9218420633622,2.1511643297731,1.86945425848588,2.10031461532398,1.78573434766001,2.03069602541769
1.398,2.47832576155585,2.21461376250896,1.95930405564342,2.19052940432073,1.92086588770444,2.15034233323978,1.86854365628596,2.09950849303892,1.78491353703833,2.02989588282385
1.399,2.47740855956017,2.21350091001689,1.95828277370914,2.18968994495736,1.91989076747631,2.14952156961774,1.86763396783903,2.09870363891109,1.78409369119474,2.02909712160341
1.4,2.47649243650437,2.21238896199891,1.9572626543992,2.18885171528033,1.91891670267778,2.14870203890699,1.86672519314509,2.09790005294048,1.78327481012925,2.02829974175637
1.401,2.47557739238845,2.21127791845502,1.95624369771362,2.18801471528964,1.91794369330887,2.14788374110753,1.86581733220414,2.0970977351271,1.78245689384185,2.02750374328274
1.402,2.47466342721241,2.2101677793852,1.95522590365239,2.1871789449853,1.91697173936957,2.14706667621936,1.86491038501618,2.09629668547095,1.78163994233254,2.02670912618252
1.403,2.47375054097626,2.20905854478948,1.9542092722155,2.18634440436729,1.91600084085988,2.14625084424249,1.86400435158121,2.09549690397202,1.78082395560132,2.0259158904557
1.404,2.47283873367998,2.20795021466784,1.95319380340297,2.18551109343563,1.91503099777981,2.1454362451769,1.86309923189923,2.09469839063032,1.7800089336482,2.02512403610228
1.405,2.4719280053236,2.20684278902028,1.95217949721479,2.18467901219031,1.91406221012935,2.1446228790226,1.86219502597024,2.09390114544585,1.77919487647318,2.02433356312227
1.406,2.47101835590709,2.20573626784681,1.95116635365095,2.18384816063133,1.9130944779085,2.14381074577959,1.86129173379424,2.0931051684186,1.77838178407624,2.02354447151566
1.407,2.47010978543047,2.20463065114742,1.95015437271147,2.1830185387587,1.91212780111726,2.14299984544788,1.86038935537123,2.09231045954857,1.7775696564574,2.02275676128245
1.408,2.46920229389373,2.20352593892212,1.94914355439633,2.18219014657241,1.91116217975564,2.14219017802745,1.85948789070121,2.09151701883578,1.77675849361665,2.02197043242265
1.409,2.46829588129687,2.20242213117091,1.94813389870555,2.18136298407245,1.91019761382363,2.14138174351832,1.85858733978418,2.09072484628021,1.775948295554,2.02118548493626
1.41,2.46739054763989,2.20131922789378,1.94712540563911,2.18053705125884,1.90923410332123,2.14057454192047,1.85768770262014,2.08993394188186,1.77513906226944,2.02040191882327
1.411,2.4664862929228,2.20021722909073,1.94611807519702,2.17971234813157,1.90827164824845,2.13976857323392,1.85678897920909,2.08914430564074,1.77433079376297,2.01961973408368
1.412,2.46558311714559,2.19911613476177,1.94511190737929,2.17888887469065,1.90731024860528,2.13896383745865,1.85589116955103,2.08835593755685,1.7735234900346,2.0188389307175
1.413,2.46468102030826,2.1980159449069,1.9441069021859,2.17806663093606,1.90634990439172,2.13816033459468,1.85499427364596,2.08756883763018,1.77271715108431,2.01805950872473
1.414,2.46378000241082,2.19691665952611,1.94310305961686,2.17724561686782,1.90539061560778,2.13735806464199,1.85409829149388,2.08678300586074,1.77191177691213,2.01728146810535
1.415,2.46288006345326,2.19581827861941,1.94210037967217,2.17642583248592,1.90443238225344,2.1365570276006,1.8532032230948,2.08599844224853,1.77110736751803,2.01650480885938
1.416,2.46198120343558,2.19472080218679,1.94109886235184,2.17560727779036,1.90347520432873,2.13575722347049,1.8523090684487,2.08521514679354,1.77030392290203,2.01572953098682
1.417,2.46108342235779,2.19362423022825,1.94009850765585,2.17478995278114,1.90251908183362,2.13495865225168,1.85141582755559,2.08443311949578,1.76950144306412,2.01495563448766
1.418,2.46018672021987,2.19252856274381,1.93909931558421,2.17397385745826,1.90156401476813,2.13416131394415,1.85052350041547,2.08365236035524,1.7686999280043,2.01418311936191
1.419,2.45929109702184,2.19143379973344,1.93810128613692,2.17315899182173,1.90061000313225,2.13336520854792,1.84963208702834,2.08287286937194,1.76789937772258,2.01341198560956
1.42,2.45839655276369,2.19033994119716,1.93710441931398,2.17234535587154,1.89965704692598,2.13257033606298,1.8487415873942,2.08209464654585,1.76709979221895,2.01264223323061
1.421,2.45750308744543,2.18924698713497,1.93610871511539,2.17153294960768,1.89870514614932,2.13177669648933,1.84785200151305,2.08131769187699,1.76630117149342,2.01187386222507
1.422,2.45661070106705,2.18815493754686,1.93511417354115,2.17072177303018,1.89775430080228,2.13098428982696,1.8469633293849,2.08054200536536,1.76550351554597,2.01110687259293
1.423,2.45571939362855,2.18706379243284,1.93412079459126,2.16991182613901,1.89680451088485,2.13019311607589,1.84607557100973,2.07976758701096,1.76470682437662,2.0103412643342
1.424,2.45482916512993,2.1859735517929,1.93312857826571,2.16910310893418,1.89585577639704,2.12940317523611,1.84518872638755,2.07899443681378,1.76391109798537,2.00957703744887
1.425,2.4539400155712,2.18488421562705,1.93213752456452,2.1682956214157,1.89490809733884,2.12861446730762,1.84430279551836,2.07822255477383,1.76311633637221,2.00881419193695
1.426,2.45305194495235,2.18379578393528,1.93114763348768,2.16748936358356,1.89396147371025,2.12782699229042,1.84341777840216,2.0774519408911,1.76232253953714,2.00805272779843
1.427,2.45216495327338,2.1827082567176,1.93015890503519,2.16668433543776,1.89301590551127,2.1270407501845,1.84253367503895,2.0766825951656,1.76152970748016,2.00729264503331
1.428,2.4512790405343,2.18162163397401,1.92917133920704,2.1658805369783,1.8920713927419,2.12625574098988,1.84165048542874,2.07591451759732,1.76073784020128,2.0065339436416
1.429,2.45039420673509,2.18053591570449,1.92818493600325,2.16507796820518,1.89112793540215,2.12547196470655,1.84076820957151,2.07514770818627,1.75994693770049,2.0057766236233
1.43,2.44951045187577,2.17945110190907,1.92719969542381,2.16427662911841,1.89018553349202,2.12468942133451,1.83988684746727,2.07438216693245,1.75915699997779,2.0050206849784
1.431,2.44862777595634,2.17836719258773,1.92621561746871,2.16347651971797,1.88924418701149,2.12390811087376,1.83900639911602,2.07361789383586,1.75836802703318,2.0042661277069
1.432,2.44774617897678,2.17728418774047,1.92523270213797,2.16267764000388,1.88830389596058,2.1231280333243,1.83812686451777,2.07285488889649,1.75758001886667,2.00351295180881
1.433,2.44686566093711,2.1762020873673,1.92425094943157,2.16187998997613,1.88736466033928,2.12234918868613,1.8372482436725,2.07209315211434,1.75679297547826,2.00276115728412
1.434,2.44598622183732,2.17512089146821,1.92327035934953,2.16108356963473,1.88642648014759,2.12157157695925,1.83637053658022,2.07133268348942,1.75600689686793,2.00201074413284
1.435,2.44510786167742,2.17404060004321,1.92229093189183,2.16028837897966,1.88548935538552,2.12079519814366,1.83549374324093,2.07057348302173,1.7552217830357,2.00126171235496
1.436,2.44423058045739,2.1729612130923,1.92131266705848,2.15949441801094,1.88455328605306,2.12002005223937,1.83461786365464,2.06981555071126,1.75443763398156,2.00051406195048
1.437,2.44335437817725,2.17188273061547,1.92033556484949,2.15870168672855,1.88361827215021,2.11924613924636,1.83374289782133,2.06905888655802,1.75365444970552,1.99976779291941
1.438,2.44247925483699,2.17080515261272,1.91935962526484,2.15791018513251,1.88268431367697,2.11847345916464,1.83286884574101,2.06830349056201,1.75287223020757,1.99902290526175
1.439,2.44160521043662,2.16972847908406,1.91838484830454,2.15711991322281,1.88175141063335,2.11770201199421,1.83199570741368,2.06754936272322,1.75209097548771,1.99827939897748
1.44,2.44073224497613,2.16865271002949,1.91741123396859,2.15633087099946,1.88081956301934,2.11693179773507,1.83112348283935,2.06679650304166,1.75131068554595,1.99753727406663
1.441,2.43986035845552,2.167577845449,1.916438782257,2.15554305846244,1.87988877083495,2.11616281638723,1.830252172018,2.06604491151733,1.75053136038227,1.99679653052918
1.442,2.43898955087479,2.1665038853426,1.91546749316975,2.15475647561177,1.87895903408016,2.11539506795067,1.82938177494964,2.06529458815022,1.7497529999967,1.99605716836513
1.443,2.43811982223395,2.16543082971028,1.91449736670685,2.15397112244744,1.87803035275499,2.1146285524254,1.82851229163428,2.06454553294033,1.74897560438921,1.99531918757448
1.444,2.43725117253299,2.16435867855204,1.9135284028683,2.15318699896945,1.87710272685944,2.11386326981143,1.8276437220719,2.06379774588768,1.74819917355982,1.99458258815725
1.445,2.43638360177191,2.1632874318679,1.9125606016541,2.1524041051778,1.87617615639349,2.11309922010874,1.82677606626251,2.06305122699225,1.74742370750852,1.99384737011341
1.446,2.43551710995071,2.16221708965783,1.91159396306425,2.15162244107249,1.87525064135716,2.11233640331734,1.82590932420612,2.06230597625404,1.74664920623532,1.99311353344298
1.447,2.4346516970694,2.16114765192185,1.91062848709875,2.15084200665353,1.87432618175044,2.11157481943724,1.82504349590271,2.06156199367306,1.7458756697402,1.99238107814595
1.448,2.43378736312797,2.16007911865996,1.9096641737576,2.15006280192091,1.87340277757333,2.11081446846842,1.82417858135229,2.06081927924931,1.74510309802318,1.99165000422233
1.449,2.43292410812642,2.15901148987215,1.9087010230408,2.14928482687462,1.87248042882584,2.1100553504109,1.82331458055487,2.06007783298278,1.74433149108426,1.99092031167212
1.45,2.43206193206476,2.15794476555843,1.90773903494834,2.14850808151469,1.87155913550796,2.10929746526466,1.82245149351043,2.05933765487348,1.74356084892343,1.9901920004953
1.451,2.43120083494298,2.15687894571879,1.90677820948024,2.14773256584109,1.87063889761969,2.10854081302971,1.82158932021898,2.05859874492141,1.74279117154069,1.9894650706919
1.452,2.43034081676108,2.15581403035324,1.90581854663649,2.14695827985383,1.86971971516104,2.10778539370606,1.82072806068053,2.05786110312656,1.74202245893604,1.98873952226189
1.453,2.42948187751906,2.15475001946177,1.90486004641709,2.14618522355292,1.868801588132,2.1070312072937,1.81986771489506,2.05712472948894,1.74125471110949,1.98801535520529
1.454,2.42862401721693,2.15368691304439,1.90390270882203,2.14541339693835,1.86788451653257,2.10627825379262,1.81900828286259,2.05638962400854,1.74048792806103,1.9872925695221
1.455,2.42776723585468,2.15262471110109,1.90294653385133,2.14464280001012,1.86696850036276,2.10552653320284,1.8181497645831,2.05565578668537,1.73972210979066,1.98657116521231
1.456,2.42691153343231,2.15156341363188,1.90199152150497,2.14387343276823,1.86605353962255,2.10477604552434,1.8172921600566,2.05492321751943,1.73895725629839,1.98585114227592
1.457,2.42605690994982,2.15050302063676,1.90103767178297,2.14310529521268,1.86513963431196,2.10402679075714,1.8164354692831,2.05419191651071,1.73819336758421,1.98513250071294
1.458,2.42520336540722,2.14944353211572,1.90008498468531,2.14233838734348,1.86422678443099,2.10327876890123,1.81557969226258,2.05346188365922,1.73743044364812,1.98441524052336
1.459,2.4243508998045,2.14838494806876,1.89913346021201,2.14157270916061,1.86331498997962,2.10253197995661,1.81472482899506,2.05273311896495,1.73666848449013,1.98369936170719
1.46,2.42349951314166,2.14732726849589,1.89818309836305,2.14080826066409,1.86240425095787,2.10178642392327,1.81387087948052,2.05200562242791,1.73590749011023,1.98298486426442
1.461,2.42264920541871,2.1462704933971,1.89723389913845,2.14004504185391,1.86149456736573,2.10104210080123,1.81301784371898,2.0512793940481,1.73514746050842,1.98227174819506
1.462,2.42179997663564,2.1452146227724,1.89628586253819,2.13928305273007,1.86058593920321,2.10029901059048,1.81216572171042,2.05055443382551,1.73438839568471,1.9815600134991
