Wavelength_nm_,N__GRINS__16,N__GRINS__15,N__GRINS__14,N__GRINS__13,N__GRINS__12,N__GRINS__11,N__GRINS__10,N__GRINS__9,N__GRINS__8,N__GRINS__7,N__GRINS__6,N__GRINS__5,N__GRINS__4,N__GRINS__3,N__GRINS__2,N__GRINS__1
1700,0.0958862459775399,0.0458679585951117,0.0119720571290805,0.000240951758726807,0.00981536364730291,0.0409547367872101,0.0893952653492973,0.157571285524378,0.237893084292301,0.330721860826547,0.426220107443639,0.532814885809865,0.62240005645608,0.72403913572989,0.797843242532564,0.865292212072345
1690,0.0929280543143869,0.04315304843307,0.0109206560948309,0.000314190266654893,0.0107315047917305,0.0426490585970681,0.0919352209209618,0.159226066700549,0.239650917539623,0.331530520319949,0.426555191958954,0.532869364343602,0.622510174931997,0.724611496453391,0.799377959932084,0.868470543111562
1680,0.0902527530671203,0.0407794108121349,0.0100218016859566,0.000385284279926126,0.0115466319756311,0.0440420871192076,0.0940119066407677,0.160568421326796,0.241074889398591,0.332184141491405,0.426825830720764,0.532913351605077,0.622599090203343,0.725073777738886,0.800618145906954,0.871040935696894
1670,0.0878626235746079,0.0387258756514438,0.00926074021869308,0.000451542332572279,0.0122554673056079,0.0451540801694536,0.0956624760720008,0.161628757971359,0.242198459184266,0.332698965548628,0.427038872018104,0.532947968945404,0.622669067123692,0.725437676678585,0.801594794302424,0.873066393581496
1660,0.0857602599226463,0.0369736358986542,0.00862449161173288,0.000510993942498363,0.0128562742051481,0.0460104000504977,0.0969293714227593,0.162438770028267,0.243056048012454,0.333091380473521,0.427201183711134,0.53297433812966,0.622722371994474,0.725714923978505,0.80233911816021,0.874610786583817
1650,0.0839487519489901,0.0355062839856272,0.00810179617368128,0.000562295618222802,0.0133503251788154,0.0466403693247643,0.0978591380377812,0.163031147709442,0.243682823201436,0.333377888121124,0.427319648844054,0.532993581244096,0.622761272240415,0.725917276423562,0.802882500583188,0.875738656449501
1640,0.0824318774692864,0.0343098484437469,0.00768306192598531,0.000604642758141221,0.0137414101837958,0.0470762723890715,0.0985013899522556,0.163439326735865,0.244114510146066,0.33357507551093,0.427401161817043,0.53300682061516,0.622788036126346,0.726056510302793,0.803256451861088,0.876515047451091
1630,0.0812143037239135,0.0333728306788725,0.00736031246133651,0.000637687442313851,0.0140353856087946,0.0473525028510889,0.098907926507616,0.16369727372782,0.244387231664209,0.333699590310589,0.427452625117208,0.533015178740355,0.622804932515361,0.726144415794701,0.803492572857202,0.877005361725569
1620,0.0803017980457238,0.0326862419059257,0.0071271353375472,0.000661462116776536,0.0142397638602859,0.0475048567075889,0.0991320000293176,0.16383930829419,0.244537374815548,0.333768120511985,0.427480946608562,0.533019778230913,0.62281423066833,0.726192792312731,0.803622524656104,0.877275239349709
1610,0.0797014477486922,0.032243640243112,0.00697863100690047,0.000676309170375357,0.0143633435561145,0.0475699713244954,0.0992277345665978,0.163899961820836,0.244601485192738,0.333797378299695,0.427493037381011,0.533021741766304,0.622818200084773,0.726213444810869,0.803678004472377,0.877390463153246
1600,0.0794218892374676,0.0320411679657764,0.00691136228097361,0.000682816404124868,0.0144158803264493,0.0475849102187267,0.0992496956942194,0.16391387295803,0.244616188684917,0.33380408811182,0.42749581015837,0.533022192060554,0.622819110385085,0.72621818104937,0.803690727820342,0.877416888269869
1590,0.0794586164588464,0.0320982667322893,0.00693226070112711,0.000672995493979882,0.0143653512736402,0.0474369014543662,0.0990402381891685,0.163550281751818,0.244168675841981,0.333154945996962,0.426795059547027,0.532143373155024,0.621968878270107,0.725317767120872,0.802866239123694,0.876744526126591
1580,0.0797571870321541,0.0324697644091921,0.00706685860969333,0.000623540540089414,0.0140870836401582,0.0466821508699893,0.0979648451436048,0.161705745627027,0.241887324382751,0.329865622769184,0.423234054584297,0.527680634881393,0.617645942064534,0.720729060275956,0.798662390966708,0.873306679209422
1570,0.0802931314018187,0.0331290276303791,0.00730944899394388,0.000546498822654772,0.0136032994009524,0.0453888619102018,0.0961022442359568,0.158558978592293,0.237966150735099,0.324257333584543,0.417134581956873,0.52004366552635,0.610232544808411,0.712833756703198,0.791423960164758,0.867365258309377
1560,0.081046352166894,0.0340452699044371,0.00765331074777234,0.000456855953307208,0.0129519061818946,0.0436747051751102,0.0935991121933641,0.154405634656211,0.232741987213345,0.316858181510989,0.409040150833258,0.509920188637893,0.600377492273379,0.702294871612377,0.781751197684879,0.859388335115439
